Rank;Name;Platform;Year;Genre;Publisher;EU_Sales
1;Wii Sports;Wii;2006;Sports;Nintendo;29.02
2;Super Mario Bros.;NES;1985;Platform;Nintendo;3.58
3;Mario Kart Wii;Wii;2008;Racing;Nintendo;12.88
4;Wii Sports Resort;Wii;2009;Sports;Nintendo;11.01
5;Pokemon Red/Pokemon Blue;GB;1996;Role-Playing;Nintendo;8.89
6;Tetris;GB;1989;Puzzle;Nintendo;2.26
7;New Super Mario Bros.;DS;2006;Platform;Nintendo;9.23
8;Wii Play;Wii;2006;Misc;Nintendo;9.2
9;New Super Mario Bros. Wii;Wii;2009;Platform;Nintendo;7.06
10;Duck Hunt;NES;1984;Shooter;Nintendo;0.63
11;Nintendogs;DS;2005;Simulation;Nintendo;11
12;Mario Kart DS;DS;2005;Racing;Nintendo;7.57
13;Pokemon Gold/Pokemon Silver;GB;1999;Role-Playing;Nintendo;6.18
14;Wii Fit;Wii;2007;Sports;Nintendo;8.03
15;Wii Fit Plus;Wii;2009;Sports;Nintendo;8.59
16;Kinect Adventures!;X360;2010;Misc;Microsoft Game Studios;4.94
17;Grand Theft Auto V;PS3;2013;Action;Take-Two Interactive;9.27
18;Grand Theft Auto: San Andreas;PS2;2004;Action;Take-Two Interactive;0.4
19;Super Mario World;SNES;1990;Platform;Nintendo;3.75
20;Brain Age: Train Your Brain in Minutes a Day;DS;2005;Misc;Nintendo;9.26
21;Pokemon Diamond/Pokemon Pearl;DS;2006;Role-Playing;Nintendo;4.52
22;Super Mario Land;GB;1989;Platform;Nintendo;2.71
23;Super Mario Bros. 3;NES;1988;Platform;Nintendo;3.44
24;Grand Theft Auto V;X360;2013;Action;Take-Two Interactive;5.31
25;Grand Theft Auto: Vice City;PS2;2002;Action;Take-Two Interactive;5.49
26;Pokemon Ruby/Pokemon Sapphire;GBA;2002;Role-Playing;Nintendo;3.9
27;Pokemon Black/Pokemon White;DS;2010;Role-Playing;Nintendo;3.28
28;Brain Age 2: More Training in Minutes a Day;DS;2005;Puzzle;Nintendo;5.36
29;Gran Turismo 3: A-Spec;PS2;2001;Racing;Sony Computer Entertainment;5.09
30;Call of Duty: Modern Warfare 3;X360;2011;Shooter;Activision;4.28
31;Pokémon Yellow: Special Pikachu Edition;GB;1998;Role-Playing;Nintendo;5.04
32;Call of Duty: Black Ops;X360;2010;Shooter;Activision;3.73
33;Pokemon X/Pokemon Y;3DS;2013;Role-Playing;Nintendo;4.05
34;Call of Duty: Black Ops 3;PS4;2015;Shooter;Activision;5.81
35;Call of Duty: Black Ops II;PS3;2012;Shooter;Activision;5.88
36;Call of Duty: Black Ops II;X360;2012;Shooter;Activision;4.3
37;Call of Duty: Modern Warfare 2;X360;2009;Shooter;Activision;3.63
38;Call of Duty: Modern Warfare 3;PS3;2011;Shooter;Activision;5.82
39;Grand Theft Auto III;PS2;2001;Action;Take-Two Interactive;4.51
40;Super Smash Bros. Brawl;Wii;2008;Fighting;Nintendo;2.61
41;Call of Duty: Black Ops;PS3;2010;Shooter;Activision;4.44
42;Animal Crossing: Wild World;DS;2005;Simulation;Nintendo;3.52
43;Mario Kart 7;3DS;2011;Racing;Nintendo;3.91
44;Halo 3;X360;2007;Shooter;Microsoft Game Studios;2.83
45;Grand Theft Auto V;PS4;2014;Action;Take-Two Interactive;5.81
46;Pokemon HeartGold/Pokemon SoulSilver;DS;2009;Action;Nintendo;2.77
47;Super Mario 64;N64;1996;Platform;Nintendo;2.85
48;Gran Turismo 4;PS2;2004;Racing;Sony Computer Entertainment;0.01
49;Super Mario Galaxy;Wii;2007;Platform;Nintendo;3.4
50;Pokemon Omega Ruby/Pokemon Alpha Sapphire;3DS;2014;Role-Playing;Nintendo;3.37
51;Super Mario Land 2: 6 Golden Coins;GB;1992;Adventure;Nintendo;2.04
52;Grand Theft Auto IV;X360;2008;Action;Take-Two Interactive;3.1
53;Gran Turismo;PS;1997;Racing;Sony Computer Entertainment;3.87
54;Super Mario 3D Land;3DS;2011;Platform;Nintendo;2.99
55;Gran Turismo 5;PS3;2010;Racing;Sony Computer Entertainment;4.88
56;Call of Duty: Modern Warfare 2;PS3;2009;Shooter;Activision;3.69
57;Grand Theft Auto IV;PS3;2008;Action;Take-Two Interactive;3.76
58;Super Mario All-Stars;SNES;1993;Platform;Nintendo;2.15
59;Pokemon FireRed/Pokemon LeafGreen;GBA;2004;Role-Playing;Nintendo;2.65
60;Super Mario 64;DS;2004;Platform;Nintendo;3.11
61;Just Dance 3;Wii;2011;Misc;Ubisoft;3.15
62;Call of Duty: Ghosts;X360;2013;Shooter;Activision;2.63
63;Halo: Reach;X360;2010;Shooter;Microsoft Game Studios;1.98
